id,fullName,email,signupDate,state,isGovEmployee,updatedAt,deleted
1,Omar Jones,omar.jones1@example.com,2023-01-04,active,false,2023-02-04 07:08:00,
2,Zoe Jones,zoe.jones2@example.com,2023-03-28,pending,false,2023-04-08 18:27:00,
3,Sam Smith,sam.smith3@example.com,2023-01-12,active,true,2023-03-17 19:01:00,
4,Sky Wilson,sky.wilson4@example.com,2023-04-02,deleted,false,2023-06-10 13:14:00,TRUE
5,Pat Robinson,pat.robinson5@example.com,2023-02-05,active,true,2023-05-05 13:21:00,
6,Avery Miller,avery.miller6@example.com,2023-01-28,active,false,2023-02-08 12:06:00,
7,Lee King,lee.king7@example.com,2023-02-14,active,false,2023-02-19 23:29:00,
8,Sky Jones,sky.jones8@example.com,2023-04-29,active,false,2023-07-08 09:53:00,
9,Omar Clark,omar.clark9@example.com,2023-04-24,pending,false,2023-05-18 22:04:00,
10,Sam Lewis,sam.lewis10@example.com,2023-01-30,active,false,2023-02-28 03:24:00,
11,Avery Martin,avery.martin11@example.com,2023-03-23,active,false,2023-05-09 11:13:00,
12,Noah Taylor,noah.taylor12@example.com,2023-03-31,deleted,false,2023-04-09 19:40:00,TRUE
13,Morgan Martinez,morgan.martinez13@example.com,2023-04-04,active,true,2023-06-02 12:17:00,
14,Nina Rodriguez,nina.rodriguez14@example.com,2023-03-30,active,false,2023-06-25 10:53:00,
15,Ethan Hall,ethan.hall15@example.com,2023-01-08,active,true,2023-02-17 12:17:00,
16,Jamie Wilson,jamie.wilson16@example.com,2023-04-27,deleted,false,2023-06-06 06:41:00,TRUE
17,Reese White,reese.white17@example.com,2023-04-24,suspended,false,2023-05-12 08:08:00,
18,Casey Walker,casey.walker18@example.com,2023-03-13,active,false,2023-05-26 13:57:00,
19,Shiv White,shiv.white19@example.com,2023-02-16,active,true,2023-04-22 15:05:00,
20,Ethan Johnson,ethan.johnson20@example.com,2023-04-21,active,true,2023-07-10 05:50:00,
21,Noah Harris,noah.harris21@example.com,2023-03-18,suspended,true,2023-05-05 19:29:00,
22,Rowan Taylor,rowan.taylor22@example.com,2023-03-12,deleted,true,2023-03-26 21:56:00,TRUE
23,Sky Hall,sky.hall23@example.com,2023-02-04,active,false,2023-02-18 09:27:00,
24,Morgan Martin,morgan.martin24@example.com,2023-01-01,deleted,false,2023-02-03 16:48:00,TRUE
25,Morgan Garcia,morgan.garcia25@example.com,2023-04-27,deleted,true,2023-06-04 20:32:00,TRUE
26,Priya Wilson,priya.wilson26@example.com,2023-01-20,active,false,2023-03-30 16:58:00,
27,Alex Clark,alex.clark27@example.com,2023-02-11,active,false,2023-02-25 11:56:00,
28,Liam Allen,liam.allen28@example.com,2023-02-09,active,true,2023-03-11 18:05:00,
29,Jamie Walker,jamie.walker29@example.com,2023-03-04,pending,true,2023-03-20 04:42:00,
30,Reese Martinez,reese.martinez30@example.com,2023-01-22,pending,false,2023-04-09 13:13:00,
31,Nina Martinez,nina.martinez31@example.com,2023-04-07,deleted,false,2023-05-02 22:19:00,TRUE
32,Dana Lewis,dana.lewis32@example.com,2023-03-25,suspended,false,2023-05-30 14:07:00,
33,Casey Moore,casey.moore33@example.com,2023-01-09,active,false,2023-03-25 17:14:00,
34,Shiv Moore,shiv.moore34@example.com,2023-01-01,deleted,true,2023-03-22 01:14:00,TRUE
35,Jamie Wright,jamie.wright35@example.com,2023-01-05,active,false,2023-03-11 07:17:00,
36,Noah Thompson,noah.thompson36@example.com,2023-01-28,active,false,2023-04-11 18:30:00,
37,Casey Allen,casey.allen37@example.com,2023-03-02,active,false,2023-03-14 03:42:00,
38,Chris Jackson,chris.jackson38@example.com,2023-02-24,suspended,false,2023-03-02 21:41:00,
39,Omar Jones,omar.jones39@example.com,2023-01-08,deleted,false,2023-02-20 03:15:00,TRUE
40,Riley Wilson,riley.wilson40@example.com,2023-03-10,active,false,2023-05-03 05:17:00,
41,Pat Moore,pat.moore41@example.com,2023-04-22,suspended,true,2023-07-01 03:03:00,
42,Omar Martinez,omar.martinez42@example.com,2023-04-18,active,true,2023-05-18 05:26:00,
43,Reese Thompson,reese.thompson43@example.com,2023-01-28,active,false,2023-02-18 12:00:00,
44,Dana Taylor,dana.taylor44@example.com,2023-04-29,active,false,2023-06-22 22:46:00,
45,Isla Martinez,isla.martinez45@example.com,2023-03-26,suspended,false,2023-04-14 06:18:00,
46,Riley Johnson,riley.johnson46@example.com,2023-03-16,pending,false,2023-03-23 23:20:00,
47,Sam Johnson,sam.johnson47@example.com,2023-03-16,pending,false,2023-05-22 05:03:00,
48,Rowan Brown,rowan.brown48@example.com,2023-04-19,active,true,2023-07-04 02:43:00,
49,Aria Moore,aria.moore49@example.com,2023-02-21,pending,true,2023-03-24 18:38:00,
50,Sam Clark,sam.clark50@example.com,2023-01-11,deleted,false,2023-03-26 18:33:00,TRUE
51,Robin Scott,robin.scott51@example.com,2023-02-03,deleted,true,2023-03-15 07:16:00,TRUE
52,Dana Miller,dana.miller52@example.com,2023-03-27,active,false,2023-05-24 10:59:00,
53,Ethan Scott,ethan.scott53@example.com,2023-01-10,suspended,true,2023-03-30 18:06:00,
54,Jamie Martinez,jamie.martinez54@example.com,2023-01-28,active,false,2023-02-13 11:56:00,
55,Jamie Wright,jamie.wright55@example.com,2023-02-01,active,false,2023-02-21 14:53:00,
56,Sky Lee,sky.lee56@example.com,2023-02-08,deleted,false,2023-04-16 00:42:00,TRUE
57,Liam Martinez,liam.martinez57@example.com,2023-02-08,active,false,2023-02-25 08:07:00,
58,Kai Jones,kai.jones58@example.com,2023-04-06,active,false,2023-05-10 09:38:00,
59,Riley Lee,riley.lee59@example.com,2023-02-13,deleted,true,2023-05-05 08:32:00,TRUE
60,Reese Taylor,reese.taylor60@example.com,2023-04-26,active,true,2023-07-16 13:53:00,
61,Avery Johnson,avery.johnson61@example.com,2023-01-01,active,false,2023-03-23 08:10:00,
62,Zoe Martin,zoe.martin62@example.com,2023-03-12,suspended,false,2023-05-22 00:07:00,
63,Jamie Wright,jamie.wright63@example.com,2023-03-30,pending,true,2023-04-03 11:37:00,
64,Sky Miller,sky.miller64@example.com,2023-02-25,active,true,2023-04-05 11:57:00,
65,Nina Allen,nina.allen65@example.com,2023-04-21,active,true,2023-05-17 21:15:00,
66,Noah Jones,noah.jones66@example.com,2023-02-15,suspended,false,2023-05-05 23:09:00,
67,Nina Scott,nina.scott67@example.com,2023-01-31,active,true,2023-03-24 00:11:00,
68,Zoe Scott,zoe.scott68@example.com,2023-02-12,deleted,false,2023-03-15 08:10:00,TRUE
69,Isla Lee,isla.lee69@example.com,2023-01-14,active,false,2023-03-15 07:12:00,
70,Liam Scott,liam.scott70@example.com,2023-02-28,active,false,2023-03-29 07:01:00,
25,Morgan Garcia,morgan.garcia25+updated@example.com,2023-04-27,suspended,true,2023-07-02 13:32:00,
52,Dana Miller,dana.miller52+updated@example.com,2023-03-27,active,false,2023-05-25 13:59:00,
43,Reese Thompson,reese.thompson43+updated@example.com,2023-01-28,active,false,2023-02-25 06:00:00,
36,Noah Thompson,noah.thompson36+updated@example.com,2023-01-28,active,false,2023-04-13 21:30:00,
9,Omar Clark,omar.clark9+updated@example.com,2023-04-24,suspended,false,2023-06-02 09:04:00,
67,Nina Scott,nina.scott67+updated@example.com,2023-01-31,suspended,true,2023-04-19 10:11:00,
45,Isla Martinez,isla.martinez45+updated@example.com,2023-03-26,active,false,2023-05-04 22:18:00,
42,Omar Martinez,omar.martinez42+updated@example.com,2023-04-18,active,true,2023-05-31 23:26:00,
33,Casey Moore,casey.moore33+updated@example.com,2023-01-09,active,false,2023-04-03 18:14:00,
26,Priya Wilson,priya.wilson26+updated@example.com,2023-01-20,suspended,false,2023-04-13 16:58:00,
